transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2187-27_tr_91,Minister of Urban Development and Housing,"State Minister of Rural Housing, Construction and Building Material Industries",State Development and Construction Corporation,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_92,Minister of Urban Development and Housing,"State Minister of Rural Housing, Construction and Building Material Industries",National Equipment and Machinery Organization,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_93,Minister of Urban Development and Housing,"State Minister of Rural Housing, Construction and Building Material Industries",Ocean View Development (Pvt) Ltd.,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_94,Minister of Community Empowerment and Estate Infrastructure Development,State Minister of Estate Housing and Community Infrastructure,New Villages Development Authority for Plantation Region,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_95,Minister of Community Empowerment and Estate Infrastructure Development,State Minister of Estate Housing and Community Infrastructure,Plantation Human Development Trust,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_96,Minister of Community Empowerment and Estate Infrastructure Development,State Minister of Estate Housing and Community Infrastructure,Saumyamoorthi Thondaman Memorial Foundation,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_97,Minister of Community Empowerment and Estate Infrastructure Development,State Minister of Estate Housing and Community Infrastructure,Estate Sector Self-Employment Revolving Fund,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_105,Minister of Justice,State Minister of Prison Reforms and Prisoners' Rehabilitation,Department of Prisons,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_106,Minister of Justice,State Minister of Prison Reforms and Prisoners' Rehabilitation,Community Based Correction Department,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_107,Minister of Justice,State Minister of Prison Reforms and Prisoners' Rehabilitation,Training Schools for Youthful Offenders,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_108,Minister of Justice,State Minister of Prison Reforms and Prisoners' Rehabilitation,Rehabilitation Commissioner General's Office,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_110,Minister of Finance,Foreign Minister,Department of Commerce,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_112,Foreign Minister,State Minister of Regional Cooperation,Lakshman Kadirgamar Institute for International Relations and Strategic Studies,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_114,Minister of Finance,"Minister of Public Services, Provincial Councils and Local Government",Public Service Mutual Benefits Association,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
